ticker,corp_code,market,name,first_month,last_month,months_in_universe
000020,00119195,KOSPI,,2020-06,2022-05,19
000030,00254045,KOSPI,,2019-01,2019-01,1
000060,00117744,KOSPI,,2019-01,2023-01,29
000105,,KOSPI,,2024-10,2025-03,6
000155,,KOSPI,,2025-06,2026-06,13
0001A0,01516933,KOSDAQ,,2026-01,2026-06,6
000220,00144818,KOSPI,,2022-02,2022-05,4
000230,00146083,KOSPI,,2022-04,2023-03,12
000250,00128546,KOSDAQ,,2019-01,2026-06,90
000300,00126089,KOSPI,,2021-06,2022-03,10
000390,00129387,KOSPI,,2026-03,2026-06,4
000430,00111847,KOSPI,,2023-07,2023-11,5
000440,00149770,KOSDAQ,,2022-02,2023-01,12
000480,00148984,KOSPI,,2023-06,2023-10,5
000490,00109286,KOSPI,,2023-09,2025-09,20
0004V0,00924931,KOSDAQ,,2026-01,2026-06,6
000500,00104768,KOSPI,,2024-04,2026-06,27
000650,00151395,KOSPI,,2025-12,2026-06,7
0007C0,01829819,KOSDAQ,,2025-12,2026-06,7
0007J0,01869710,KOSDAQ,,2026-04,2026-06,3
000890,00123541,KOSPI,,2019-01,2020-05,17
0008Z0,01294110,KOSDAQ,,2025-08,2026-02,7
000910,00144252,KOSPI,,2019-05,2025-06,33
0009K0,01781999,KOSDAQ,,2025-12,2026-06,7
001060,00149947,KOSPI,,2020-03,2025-04,32
0010F0,00871587,KOSDAQ,,2026-04,2026-06,3
0010V0,00185301,KOSDAQ,,2025-08,2025-12,5
0011A0,01554508,KOSDAQ,,2026-03,2026-06,4
0011T0,01279698,KOSDAQ,,2026-04,2026-06,3
001230,00114792,KOSPI,,2021-04,2023-09,30
001250,00138190,KOSPI,,2022-04,2025-05,28
001270,00123772,KOSPI,,2025-09,2026-04,8
001340,00122472,KOSPI,,2020-02,2023-09,24
001360,00126414,KOSPI,,2019-10,2021-11,26
001380,00152039,KOSPI,,2019-01,2025-06,15
001390,00101220,KOSPI,,2022-04,2024-06,25
0013V0,01370322,KOSDAQ,,2025-12,2026-04,5
001470,00125974,KOSPI,,2020-12,2025-05,54
001510,00131850,KOSPI,,2020-07,2026-06,19
001520,00117337,KOSPI,,2021-06,2026-02,9
001550,00148948,KOSPI,,2019-01,2019-09,9
0015G0,00677486,KOSDAQ,,2025-11,2026-06,8
0015N0,01381805,KOSDAQ,,2025-11,2026-05,7
0015S0,01817920,KOSDAQ,,2025-12,2026-04,5
001630,00149354,KOSPI,,2021-01,2021-03,3
001780,00117027,KOSPI,,2020-09,2024-07,44
001790,00113234,KOSPI,,2022-04,2025-08,22
0017J0,01596221,KOSDAQ,,2026-06,2026-06,1
001820,00129350,KOSPI,,2019-01,2026-06,43
002020,00152862,KOSPI,,2025-07,2026-06,12
002070,00107677,KOSPI,,2019-09,2020-09,13
002100,00101433,KOSPI,,2019-01,2019-11,11
002140,00102751,KOSPI,,2019-08,2023-02,29
002150,00114552,KOSPI,,2019-01,2019-11,11
002210,00116268,KOSPI,,2019-01,2020-10,22
002320,00163512,KOSPI,,2019-01,2021-06,30
002360,00136457,KOSPI,,2020-01,2020-07,7
002410,00122694,KOSPI,,2021-07,2023-01,19
002630,00141626,KOSPI,,2025-03,2025-07,5
002680,00140566,KOSDAQ,,2022-05,2022-10,6
002700,00173698,KOSPI,,2019-04,2022-09,33
002720,00104722,KOSPI,,2020-01,2025-03,30
002800,00136448,KOSDAQ,,2023-11,2024-02,4
002880,00149804,KOSPI,,2019-01,2019-05,5
002900,00117230,KOSPI,,2019-01,2023-11,23
003000,00123718,KOSPI,,2019-01,2022-10,46
003010,00165343,KOSPI,,2019-01,2023-06,21
003060,00101044,KOSPI,,2019-12,2021-01,14
003070,00152880,KOSPI,,2022-11,2023-03,5
003100,00131896,KOSDAQ,,2023-04,2023-07,4
003160,00118275,KOSPI,,2024-04,2026-06,27
003220,00111999,KOSPI,,2020-07,2023-02,25
003280,00167208,KOSPI,,2024-01,2026-06,30
003310,00112457,KOSDAQ,,2022-05,2026-06,22
003350,00160621,KOSPI,,2019-01,2019-04,4
003380,00148364,KOSDAQ,,2023-04,2026-06,18
003495,,KOSPI,,2019-05,2019-07,3
003520,00141149,KOSPI,,2019-01,2021-06,30
003530,00148610,KOSPI,,2021-03,2026-06,50
003535,,KOSPI,,2021-04,2021-07,4
003560,00154426,KOSPI,,2019-01,2020-06,18
003580,00169048,KOSPI,,2019-11,2023-05,33
003780,00150439,KOSPI,,2019-01,2021-05,6
003850,00123143,KOSPI,,2021-01,2022-02,14
004060,00133511,KOSPI,,2019-06,2019-11,6
004090,00157991,KOSPI,,2022-02,2026-06,34
004100,00153755,KOSPI,,2019-01,2025-07,5
004140,00115287,KOSPI,,2021-02,2026-01,27
0041J0,01906552,KOSDAQ,,2025-08,2025-08,1
004250,00108038,KOSPI,,2022-01,2022-12,12
004270,00172185,KOSPI,,2019-01,2021-05,22
004310,00164706,KOSPI,,2019-01,2026-06,19
004410,00130879,KOSPI,,2021-03,2021-09,7
004430,00134963,KOSPI,,2019-01,2020-07,19
004540,00113492,KOSPI,,2021-05,2021-08,4
004560,00125743,KOSPI,,2021-03,2021-10,8
004650,00123523,KOSDAQ,,2020-03,2020-07,5
004690,00128555,KOSPI,,2022-12,2023-10,11
004710,00157399,KOSPI,,2026-06,2026-06,1
004720,00135050,KOSPI,,2020-08,2022-02,16
004770,00138057,KOSPI,,2019-01,2022-09,37
004830,00114093,KOSPI,,2020-12,2025-06,41
004870,00109514,KOSPI,,2019-01,2019-02,2
004980,00132804,KOSPI,,2019-01,2019-11,11
005010,00156488,KOSPI,,2025-03,2025-10,8
005030,00124151,KOSPI,,2022-06,2022-09,4
005110,00163716,KOSPI,,2019-01,2020-07,19
005160,00172680,KOSDAQ,,2022-10,2023-09,12
005290,00118804,KOSDAQ,,2019-04,2026-06,87
005320,00168331,KOSPI,,2020-05,2020-11,7
005360,00121288,KOSPI,,2019-07,2021-01,19
005385,,KOSPI,,2019-01,2026-06,90
005387,,KOSPI,,2019-01,2026-06,90
005390,00136341,KOSPI,,2019-08,2022-09,33
005690,00145163,KOSPI,,2019-01,2026-06,75
005860,00162911,KOSDAQ,,2022-03,2024-12,34
005870,00111421,KOSPI,,2023-10,2025-08,21
005880,00113535,KOSPI,,2020-12,2026-06,57
005935,,KOSPI,,2019-01,2026-06,90
005950,00145552,KOSPI,,2022-09,2024-05,21
