ticker,market,sector,name,market_cap,rank,as_of,source,source_as_of
005930,KOSPI,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",삼성전자,1093554500000000,1,2026-05-04,krx_pykrx,2026-05-04
000660,KOSPI,"반도체,컴퓨터,통신기기 제조,도매",SK하이닉스,617437800000000,2,2026-05-04,krx_pykrx,2026-05-04
402340,KOSPI,지주회사,SK스퀘어,63996200000000,3,2026-05-04,krx_pykrx,2026-05-04
005380,KOSPI,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",현대차,97225800000000,4,2026-05-04,krx_pykrx,2026-05-04
373220,KOSPI,"2차전지 (소형,ESS,자동차전지)",LG에너지솔루션,94380000000000,5,2026-05-04,krx_pykrx,2026-05-04
034020,KOSPI,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",두산에너빌리티,61878200000000,6,2026-05-04,krx_pykrx,2026-05-04
012450,KOSPI,"항공기엔진,특수방산장비 제조/정비사업",한화에어로스페이스,72171600000000,7,2026-05-04,krx_pykrx,2026-05-04
329180,KOSPI,"선박, 해양플랜트 및 엔진기계 등",HD현대중공업,47932300000000,8,2026-05-04,krx_pykrx,2026-05-04
009150,KOSPI,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",삼성전기,32803000000000,9,2026-05-04,krx_pykrx,2026-05-04
207940,KOSPI,바이오의약품,삼성바이오로직스,72692200000000,10,2026-05-04,krx_pykrx,2026-05-04
000270,KOSPI,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",기아,59355800000000,11,2026-05-04,krx_pykrx,2026-05-04
105560,KOSPI,-,KB금융,54722000000000,12,2026-05-04,krx_pykrx,2026-05-04
006400,KOSPI,"2차전지, 전자재료 제조 판매",삼성SDI,35283000000000,13,2026-05-04,krx_pykrx,2026-05-04
032830,KOSPI,"생명보험,부동산 임대",삼성생명,44333300000000,14,2026-05-04,krx_pykrx,2026-05-04
028260,KOSPI,"도소매, 건설, 남자용 정장 제조업 등",삼성물산,43245000000000,15,2026-05-04,krx_pykrx,2026-05-04
055550,KOSPI,금융지주회사,신한지주,43794800000000,16,2026-05-04,krx_pykrx,2026-05-04
