ticker,sector,name
A,Health Care,Agilent Technologies
AAPL,Information Technology,Apple Inc.
ABBV,Health Care,AbbVie
ABNB,Consumer Discretionary,Airbnb
ABT,Health Care,Abbott Laboratories
ACGL,Financials,Arch Capital Group
ACN,Information Technology,Accenture
ADBE,Information Technology,Adobe Inc.
ADI,Information Technology,Analog Devices
ADM,Consumer Staples,Archer Daniels Midland
ADP,Industrials,Automatic Data Processing
ADSK,Information Technology,Autodesk
AEE,Utilities,Ameren
AEP,Utilities,American Electric Power
AES,Utilities,AES Corporation
AFL,Financials,Aflac
AIG,Financials,American International Group
AIZ,Financials,Assurant
AJG,Financials,Arthur J. Gallagher & Co.
AKAM,Information Technology,Akamai Technologies
ALB,Materials,Albemarle Corporation
ALGN,Health Care,Align Technology
ALL,Financials,Allstate
ALLE,Industrials,Allegion
AMAT,Information Technology,Applied Materials
AMCR,Materials,Amcor
AMD,Information Technology,Advanced Micro Devices
AME,Industrials,Ametek
AMGN,Health Care,Amgen
AMP,Financials,Ameriprise Financial
AMT,Real Estate,American Tower
AMZN,Consumer Discretionary,Amazon
ANET,Information Technology,Arista Networks
AON,Financials,Aon plc
AOS,Industrials,A. O. Smith
APA,Energy,APA Corporation
APD,Materials,Air Products
APH,Information Technology,Amphenol
APO,Financials,Apollo Global Management
APP,Information Technology,AppLovin
APTV,Consumer Discretionary,Aptiv
ARE,Real Estate,Alexandria Real Estate Equities
ARES,Financials,Ares Management
ATO,Utilities,Atmos Energy
AVB,Real Estate,AvalonBay Communities
AVGO,Information Technology,Broadcom
AVY,Materials,Avery Dennison
AWK,Utilities,American Water Works
AXON,Industrials,Axon Enterprise
AXP,Financials,American Express
AZO,Consumer Discretionary,AutoZone
BA,Industrials,Boeing
BAC,Financials,Bank of America
BALL,Materials,Ball Corporation
BAX,Health Care,Baxter International
BBY,Consumer Discretionary,Best Buy
BDX,Health Care,Becton Dickinson
BEN,Financials,Franklin Resources
BF-B,Consumer Staples,Brown–Forman
BG,Consumer Staples,Bunge Global
BIIB,Health Care,Biogen
BK,Financials,BNY Mellon
BKNG,Consumer Discretionary,Booking Holdings
BKR,Energy,Baker Hughes
BLDR,Industrials,Builders FirstSource
BLK,Financials,BlackRock
BMY,Health Care,Bristol Myers Squibb
BR,Industrials,Broadridge Financial Solutions
BRK-B,Financials,Berkshire Hathaway
BRO,Financials,Brown & Brown
BSX,Health Care,Boston Scientific
BX,Financials,Blackstone Inc.
BXP,Real Estate,"BXP, Inc."
C,Financials,Citigroup
CAG,Consumer Staples,Conagra Brands
CAH,Health Care,Cardinal Health
CARR,Industrials,Carrier Global
CAT,Industrials,Caterpillar Inc.
CB,Financials,Chubb Limited
CBOE,Financials,Cboe Global Markets
CBRE,Real Estate,CBRE Group
CCI,Real Estate,Crown Castle
CCL,Consumer Discretionary,Carnival
CDNS,Information Technology,Cadence Design Systems
CDW,Information Technology,CDW Corporation
CEG,Utilities,Constellation Energy
CF,Materials,CF Industries
CFG,Financials,Citizens Financial Group
CHD,Consumer Staples,Church & Dwight
CHRW,Industrials,C.H. Robinson
CHTR,Communication Services,Charter Communications
CI,Health Care,Cigna
CIEN,Information Technology,Ciena
CINF,Financials,Cincinnati Financial
CL,Consumer Staples,Colgate-Palmolive
CLX,Consumer Staples,Clorox
CMCSA,Communication Services,Comcast
CME,Financials,CME Group
CMG,Consumer Discretionary,Chipotle Mexican Grill
CMI,Industrials,Cummins
CMS,Utilities,CMS Energy
CNC,Health Care,Centene Corporation
CNP,Utilities,CenterPoint Energy
COF,Financials,Capital One
COIN,Financials,Coinbase
COO,Health Care,Cooper Companies (The)
COP,Energy,ConocoPhillips
COR,Health Care,Cencora
COST,Consumer Staples,Costco
CPAY,Financials,Corpay
CPB,Consumer Staples,Campbell's Company (The)
CPRT,Industrials,Copart
CPT,Real Estate,Camden Property Trust
CRH,Materials,CRH plc
CRL,Health Care,Charles River Laboratories
CRM,Information Technology,Salesforce
CRWD,Information Technology,CrowdStrike
CSCO,Information Technology,Cisco
CSGP,Real Estate,CoStar Group
CSX,Industrials,CSX Corporation
CTAS,Industrials,Cintas
CTRA,Energy,Coterra
CTSH,Information Technology,Cognizant
CTVA,Materials,Corteva
CVNA,Consumer Discretionary,Carvana
CVS,Health Care,CVS Health
CVX,Energy,Chevron Corporation
D,Utilities,Dominion Energy
DAL,Industrials,Delta Air Lines
DASH,Consumer Discretionary,DoorDash
DD,Materials,DuPont
DDOG,Information Technology,Datadog
DE,Industrials,Deere & Company
DECK,Consumer Discretionary,Deckers Brands
DELL,Information Technology,Dell Technologies
DG,Consumer Staples,Dollar General
DGX,Health Care,Quest Diagnostics
DHI,Consumer Discretionary,D. R. Horton
DHR,Health Care,Danaher Corporation
DIS,Communication Services,Walt Disney Company (The)
DLR,Real Estate,Digital Realty
DLTR,Consumer Staples,Dollar Tree
DOC,Real Estate,Healthpeak Properties
DOV,Industrials,Dover Corporation
DOW,Materials,Dow Inc.
DPZ,Consumer Discretionary,Domino's
DRI,Consumer Discretionary,Darden Restaurants
DTE,Utilities,DTE Energy
DUK,Utilities,Duke Energy
DVA,Health Care,DaVita
DVN,Energy,Devon Energy
DXCM,Health Care,Dexcom
EA,Communication Services,Electronic Arts
EBAY,Consumer Discretionary,eBay Inc.
ECL,Materials,Ecolab
ED,Utilities,Consolidated Edison
EFX,Industrials,Equifax
EG,Financials,Everest Group
EIX,Utilities,Edison International
EL,Consumer Staples,Estée Lauder Companies (The)
ELV,Health Care,Elevance Health
EME,Industrials,Emcor
EMR,Industrials,Emerson Electric
EOG,Energy,EOG Resources
EPAM,Information Technology,EPAM Systems
EQIX,Real Estate,Equinix
EQR,Real Estate,Equity Residential
EQT,Energy,EQT Corporation
ERIE,Financials,Erie Indemnity
ES,Utilities,Eversource Energy
ESS,Real Estate,Essex Property Trust
ETN,Industrials,Eaton Corporation
ETR,Utilities,Entergy
EVRG,Utilities,Evergy
EW,Health Care,Edwards Lifesciences
