ticker,as_of,source
ACC,2019-10-31,wikipedia_sp400_pit
ACHC,2019-10-31,wikipedia_sp400_pit
ACIW,2019-10-31,wikipedia_sp400_pit
ACM,2019-10-31,wikipedia_sp400_pit
ADNT,2019-10-31,wikipedia_sp400_pit
AEO,2019-10-31,wikipedia_sp400_pit
AFG,2019-10-31,wikipedia_sp400_pit
AGCO,2019-10-31,wikipedia_sp400_pit
ALE,2019-10-31,wikipedia_sp400_pit
ALEX,2019-10-31,wikipedia_sp400_pit
AM,2019-10-31,wikipedia_sp400_pit
AMCX,2019-10-31,wikipedia_sp400_pit
AMED,2019-10-31,wikipedia_sp400_pit
AN,2019-10-31,wikipedia_sp400_pit
ARW,2019-10-31,wikipedia_sp400_pit
ASB,2019-10-31,wikipedia_sp400_pit
ASGN,2019-10-31,wikipedia_sp400_pit
ASH,2019-10-31,wikipedia_sp400_pit
ATGE,2019-10-31,wikipedia_sp400_pit
ATI,2019-10-31,wikipedia_sp400_pit
ATR,2019-10-31,wikipedia_sp400_pit
AVNS,2019-10-31,wikipedia_sp400_pit
AVNT,2019-10-31,wikipedia_sp400_pit
AVT,2019-10-31,wikipedia_sp400_pit
AXON,2019-10-31,wikipedia_sp400_pit
AYI,2019-10-31,wikipedia_sp400_pit
AZTA,2019-10-31,wikipedia_sp400_pit
BBBY,2019-10-31,wikipedia_sp400_pit
BC,2019-10-31,wikipedia_sp400_pit
BCO,2019-10-31,wikipedia_sp400_pit
BDC,2019-10-31,wikipedia_sp400_pit
BFH,2019-10-31,wikipedia_sp400_pit
BHF,2019-10-31,wikipedia_sp400_pit
BIO,2019-10-31,wikipedia_sp400_pit
BJ,2019-10-31,wikipedia_sp400_pit
BKH,2019-10-31,wikipedia_sp400_pit
BLKB,2019-10-31,wikipedia_sp400_pit
BOH,2019-10-31,wikipedia_sp400_pit
BRO,2019-10-31,wikipedia_sp400_pit
BRX,2019-10-31,wikipedia_sp400_pit
BYD,2019-10-31,wikipedia_sp400_pit
CABO,2019-10-31,wikipedia_sp400_pit
CACI,2019-10-31,wikipedia_sp400_pit
CADE,2019-10-31,wikipedia_sp400_pit
CAKE,2019-10-31,wikipedia_sp400_pit
CAR,2019-10-31,wikipedia_sp400_pit
CASY,2019-10-31,wikipedia_sp400_pit
CATY,2019-10-31,wikipedia_sp400_pit
CBRL,2019-10-31,wikipedia_sp400_pit
CBSH,2019-10-31,wikipedia_sp400_pit
CBT,2019-10-31,wikipedia_sp400_pit
CC,2019-10-31,wikipedia_sp400_pit
CDAY,2019-10-31,wikipedia_sp400_pit
CDK,2019-10-31,wikipedia_sp400_pit
CDP,2019-10-31,wikipedia_sp400_pit
CFR,2019-10-31,wikipedia_sp400_pit
CGNX,2019-10-31,wikipedia_sp400_pit
CHDN,2019-10-31,wikipedia_sp400_pit
CHE,2019-10-31,wikipedia_sp400_pit
CHK,2019-10-31,wikipedia_sp400_pit
CHX,2019-10-31,wikipedia_sp400_pit
CIEN,2019-10-31,wikipedia_sp400_pit
CLB,2019-10-31,wikipedia_sp400_pit
CLGX,2019-10-31,wikipedia_sp400_pit
CLH,2019-10-31,wikipedia_sp400_pit
CLI,2019-10-31,wikipedia_sp400_pit
CMC,2019-10-31,wikipedia_sp400_pit
CMD,2019-10-31,wikipedia_sp400_pit
CMP,2019-10-31,wikipedia_sp400_pit
CNK,2019-10-31,wikipedia_sp400_pit
CNO,2019-10-31,wikipedia_sp400_pit
CNX,2019-10-31,wikipedia_sp400_pit
COHR,2019-10-31,wikipedia_sp400_pit
CONE,2019-10-31,wikipedia_sp400_pit
COR,2019-10-31,wikipedia_sp400_pit
CPT,2019-10-31,wikipedia_sp400_pit
CRI,2019-10-31,wikipedia_sp400_pit
CRL,2019-10-31,wikipedia_sp400_pit
CRS,2019-10-31,wikipedia_sp400_pit
CRUS,2019-10-31,wikipedia_sp400_pit
CSL,2019-10-31,wikipedia_sp400_pit
CTLT,2019-10-31,wikipedia_sp400_pit
CUZ,2019-10-31,wikipedia_sp400_pit
CVLT,2019-10-31,wikipedia_sp400_pit
CW,2019-10-31,wikipedia_sp400_pit
CXT,2019-10-31,wikipedia_sp400_pit
CXW,2019-10-31,wikipedia_sp400_pit
CY,2019-10-31,wikipedia_sp400_pit
CZR,2019-10-31,wikipedia_sp400_pit
DAN,2019-10-31,wikipedia_sp400_pit
DCI,2019-10-31,wikipedia_sp400_pit
DDS,2019-10-31,wikipedia_sp400_pit
DECK,2019-10-31,wikipedia_sp400_pit
DEI,2019-10-31,wikipedia_sp400_pit
DHC,2019-10-31,wikipedia_sp400_pit
DINO,2019-10-31,wikipedia_sp400_pit
DKS,2019-10-31,wikipedia_sp400_pit
DLPH,2019-10-31,wikipedia_sp400_pit
DLX,2019-10-31,wikipedia_sp400_pit
DNKN,2019-10-31,wikipedia_sp400_pit
DNOW,2019-10-31,wikipedia_sp400_pit
DPZ,2019-10-31,wikipedia_sp400_pit
DY,2019-10-31,wikipedia_sp400_pit
EAT,2019-10-31,wikipedia_sp400_pit
EGP,2019-10-31,wikipedia_sp400_pit
EHC,2019-10-31,wikipedia_sp400_pit
EME,2019-10-31,wikipedia_sp400_pit
ENOV,2019-10-31,wikipedia_sp400_pit
